Word,Known,Discard
vicio,False,False
ego,True,False
bien,True,False
opuesto,True,False
puesta,True,False
ir ,True,False
ven,True,False
cita,False,False
arte,True,False
ración,True,False
cualquier,True,False
trato,False,False
cuerdo,False,False
uso,True,False
presionar,False,False
pronto,True,False
qué,True,False
deseo,True,False
relacionar,True,False
ocupar,True,False
enviado,True,False
enviad,True,False
visto,True,False
satisfacer,True,False
lejos,True,False
mercantil,True,False
quiera,True,False
rata,False,False
cerdo,True,False
dote,False,False
esto,True,False
darse,True,False
ayudarse,True,False
diverso,True,False
publicado,True,False
sexto,True,False
mayo,True,False
recibido,True,False
público,True,False
crítica,True,False
interesar,True,False
renovación,True,False
trillado,False,False
género,True,False
fantasía,True,False
ameno,False,False
magia,True,False
romance,True,False
enfrentamiento,False,False
político,True,False
conflicto,True,False
religioso,True,False
lucha,True,False
igualdad,True,False
penetrante,True,False
personaje,True,False
coherente,True,False
épico,True,False
pico,True,False
detectar,True,False
destacar,False,False
tono,True,False
vano,True,False
afirmar,True,False
firma,True,False
haber,True,False
empezad,False,True
sumo,False,False
suma,False,False
inteligente,True,False
irónico,True,False
número,True,False
orientación,True,False
clásico,True,False
descripción,True,False
fantástico,True,False
capital,True,False
inmortal,True,False
mortal,True,False
finalizar,True,False
introducir,True,False
dato,True,False
subversivo,True,False
eternidad,True,False
publicar,True,False
trilogía,True,False
titulado,True,False
formado,True,False
ascensión,True,False
tenerse,True,False
colección,True,False
lección,True,False
narrar,True,False
cliché,True,False
dragón,True,False
enano,True,False
elfo,True,False
mago,True,False
todopoderoso,True,False
excepcional,True,False
cota,False,False
regla,True,False
lamentar,True,False
renovado,True,False
utilizar,True,False
sistema,True,False
tema,True,False
intrigante,True,False
satisfactorio,True,False
factor,True,False
acto,True,False
actor,True,False
original,True,False
recomendado,True,False
dado,False,False
lectura,True,False
volumen,True,False
caído,True,False
nada,True,False
florecer,True,False
esclavizar,True,False
prólogo,True,False
ceño,True,False
manchar,True,False
tatuaje,True,False
negrura,True,False
requerir,True,False
mudar,True,False
bail,False,True
glamour,True,False
celebrar,True,False
atreverse,True,False
alejado,True,False
difuso,True,False
curar,True,False
horrorizado,True,False
vengar,False,True
repetido,True,False
tontería,True,False
contagiar,True,False
palidecer,False,False
colar,True,False
hager,False,True
distribuir,True,False
sobras,True,False
sirviente,True,False
correoso,False,False
contento,True,False
bromeas,True,False
oreja,True,False
miró,True,False
enrojecer,True,False
despierto,True,False
desvanecer,True,False
negruzco,True,False
corrillo,False,False
tomado,True,False
linde,False,False
rebelar,True,False
primera,True,False
superviviente,True,False
error,True,False
opinión,True,False
acomodaticio,False,False
moda,True,False
señal,True,False
busca,True,False
atar,False,False
obra,True,False
ojear,False,False
blando,True,False
práctico,True,False
pose,False,False
turno,True,False
leve,False,False
oro,True,False
principio,True,False
moral,True,False
tirano,False,False
arrogante,True,False
válido,True,False
reducir,True,False
revolotear,True,False
libre,True,False
trozo,False,False
nieve,True,False
descender,True,False
acumular,True,False
impulsado,True,False
brisa,False,False
enroscar,False,False
diminuto,False,False
remolino,True,False
empedrado,False,False
mirador,True,False
hueco,True,False
ladrillo,True,False
guarida,False,False
vigilar,True,False
signo,True,False
solas,False,False
traicionar,True,False
palabras,True,False
enseñar,False,False
reforzar,False,False
enseñanza,False,False
prometer,True,False
pensamiento,True,False
simple,True,False
cercano,True,False
trampilla,False,False
recámara,False,False
preparar,True,False
larguirucho,False,False
amable,True,False
ingenuo,True,False
crecer,True,False
traición,True,False
amistad,True,False
supervivencia,True,False
capturado,True,False
frialdad,True,False
enfadado,False,False
estrecho,True,False
espacio,True,False
rozar,False,False
ruinoso,True,False
tapadera,False,False
cubil,False,False
túnel,True,False
situado,True,False
trasero,True,False
seguido,True,False
manzana,True,False
complicado,True,False
complejo,True,False
beneficio,True,False
capturar,True,False
timar,False,False
profesión,True,False
fragua,False,False
